001,CEbTRO DE EMPLEO,13285,68,68547,piedecuestaemplea@gmail.com; Empleoyemprendimiento@alcaldiadepiedecuesta.gov.co,CARRERA 6 # 9-98,SI,http://www.alcaldiadepiedecuesta.gov.co/,2020-11-29
001,ACCIÓN DOMESTICAS DE COLOMBIA CALLE 39,14002,11,11001,domesticasdecolombia@gmail.com,CALLE 39 No 15-23 apto 101,SI,http://www.domesticasdecolombia.com,2020-11-29
001,PUNTO DE SERVICIO BARRANQUILLA,14003,05,05001,Daniella.valencia@adecco.com,CARRERA 43A No 23-73 LOCAL 142,SI,http://www.adecco.com.co,2020-11-29
002,PUNTO DE SERVICIO BARRANQUILLA,14003,08,08001,Daniella.valencia@adecco.com,CARRERA 49C No 80-264 LOCAL 4,SI,http://www.adecco.com.co,2020-11-29
003,PUNTO DE SERVICIO BARRANQUILLA,14003,11,11001,Daniella.valencia@adecco.com,AVENIDA CALLE 13 No 65-78,SI,http://www.adecco.com.co,2020-11-29
006,PUNTO DE SERVICIO CARTAGENA,14003,13,13001,Daniella.valencia@adecco.com,PLAZUELA C.C SHOPPING CENTER II LOCAL 8,SI,http://www.adecco.com.co,2020-11-29
007,PUNTO DE SERVICIO MANIZALES,14003,17,17001,Daniella.valencia@adecco.com,CARRERA 23 No 59-26 LOCAL 3,SI,http://www.adecco.com.co,2020-11-29
009,PUNTO DE SERVICIO VILLAVICENCIO,14003,50,50001,Daniella.valencia@adecco.com,"CARRERA 48 No 7-01 LOCAL 9,  CENTRO COMERCIAL LA HACIENDA",SI,http://www.adecco.com.co,2020-11-29
010,PUNTO DE SERVICIO PEREIRA,14003,66,66001,Daniella.valencia@adecco.com,AVENIDA 30 DE AGOSTO No 42-01,SI,http://www.adecco.com.co,2020-11-29
012,PUNTO DE SERVICIOS DE BICARAMANGA,14003,68,68001,Daniella.valencia@adecco.com,CARRERA 27 No 36-38 LOCAL 125,SI,http://www.adecco.com.co,2020-11-29
013,PUNTO DE SERVICIO IBAGUE,14003,73,73001,Daniella.valencia@adecco.com,"CARRERA 5 No 29-32 LOCAL 250 PISO 2, CENTRO COMERCIAL LA QUINTA",SI,http://www.adecco.com.co,2020-11-29
014,PUNTO DE SERVICIO DE CALI,14003,76,76001,Daniella.valencia@adecco.com,CALLE 44 NORTE No 2FN-28 la merced,SI,http://www.adecco.com.co,2020-11-29
015,PUNTO DE SERVICIO PALMIRA,14003,76,76520,Daniella.valencia@adecco.com,CARRERA 28 No 30-19 LOCAL 201,SI,http://www.adecco.com.co,2020-11-29
002,"ARQUIUS COLOMBIA S.A.S (NORMANBROADBENT) A - 41, OFICINA 419",14014,11,11001,mpaula.morales@talengo.com,"CALLE 98 A No. 9A - 41, OFICINA 403",SI,http://www.talengo.com,2020-11-29
001,MAGNETO EMPLEO,14026,00,0000,julia.gonzalez@magneto365.com,www.magnetoempleos.co,SI,www.magnetoempleos.co,2020-11-29
004,PUNTO DE INFORMACIÓN Calle 123 N° 7 – 07oficinas 207 – 303,14066,11,110001,administracion@consultoresorg.com,Calle 123 N° 7 – 07oficinas 207 – 303,SI,www.consultoresorg.com,2020-11-29
005,PUNTO VIRTUAL,14066,00,0000,administracion@consultoresorg.com,(en blanco),SI,www.consultoresorg.com,2020-11-29
003,CRISTINA HERRERA TALENTI SAS,14071,11,11001,cristina.herrera@talenti.com.co; carolina.vargas@talenti.com.co,CALLE 109 No. 18C-17 OFIC. 317,SI,www.talenti.com.co,2020-11-29
001,GENTE ESTRATEGICA DE FORMACIÓN PARA EL TRABAJO CARRERA 57 NO. 72-121,14088,08,08001,pcastillo@grupocaribe.com,Carrera 57 No. 72-121,SI,www.agenciaempleoge.co,2020-11-29
002,GENTE ESTRATEGICA DE FORMACIÓN PARA EL TRABAJO CARRERA 4 NO. 19-85,14088,11,11001,pcastillo@grupocaribe.com,Carrera 4 No. 19-85 Edificio Fenalco,SI,www.agenciaempleoge.co,2020-11-29
003,GENTE ESTRATEGICA DE FORMACIÓN PARA EL TRABAJO ANDIAN OF. 201,14088,13,13001,pcastillo@grupocaribe.com,"Centro Calle Larga # 8B -178 Getsemaní, Oficina 201",SI,www.agenciaempleoge.co,2020-11-29
007,Carrera 38 #4C-47,14088,76,76001,pcastillo@grupocaribe.com,Carrera 38 #4C-47,SI,www.agenciaempleoge.co,2020-11-29
002,IT HUNTERS PUNTO VIRTUAL ,14093,00,00000,carolinatoro@ithunters.co,www.ithunters.com,SI,http://www.ithunters.co,2020-11-29
001,LEADERSEARCH / EL EMPLEO NO. 68B 70,14095,00,00000,aordonez@elempleo.com,https://www.elempleo.com,SI,https://www.elempleo.com,2020-11-29
002,PUNTO VIRTUAL,14096,00,00000,pcabrera@amroptop.com,www.leadership.com.co,SI,www.leadership.com.co,2020-11-29
003,PUNTO DE SERVICIOS,14096,11,11001,pcabrera@amroptop.com,"Calle 113 No 7-45 Torre B, Oficina 506, Edificio Teleport",SI,www.leadership.com.co,2020-11-29
001,LEGISLACION ECONOMICA S.A. - LEGIS-ALIADO LABORAL ALIADOLABORAL.COM,14097,00,00000,angel.quijano@legis.com.co,http://www.aliadolaboral.com,SI,http://www.aliadolaboral.com,2020-11-29
001,LG CONSULTORES AUTOPISTA,14098,11,11001,administracion@lgconsultores.com.co,AUTOPISTA NORTE No 103-34 OFICINA 708,SI,http://www.lgconsultores.com.co/,2020-11-29
001,MANPOWER PROFESSIONAL LTDA RÍO LOCAL 107,14099,05,05045,Juan.garces@manpowergroup.com.co,Calle 99 carrera 104 A 41 Barrio Ortiz,SI,www.manpowergroupcolombia.com,2020-11-29
002,MANPOWER PROFESSIONAL LTDA PRIMER PLANO,14099,05,05001,Juan.garces@manpowergroup.com.co,Calle 52 No 47-42 Oficina 801 edificio coltejer,SI,www.manpowergroupcolombia.com,2020-11-29
003,MANPOWER PROFESSIONAL LTDA EDIFICIO AFFINITY,14099,05,05001,Juan.garces@manpowergroup.com.co,CALLE 6 SUR No 43A-96 OFICINA 806  EDIFICIO AFFINITY,SI,www.manpowergroupcolombia.com,2020-11-29
004,MANPOWER PROFESSIONAL LTDA TRADE CENTER,14099,08,08001,Juan.garces@manpowergroup.com.co,CALLE 76 No 54-11 LOCAL B-15 EDIFICIO WORD TRADE CENTER,SI,www.manpowergroupcolombia.com,2020-11-29
